Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,11,0,0.124,0.4,0.0244
2,Intensity 2,11,0,0.271,0.4,0.00906
3,Intensity 3,11,0,0.419,0.4,0.00414
4,Intensity 4,11,0,0.566,0.4,0.00236
5,Intensity 5,11,0,0.714,0.4,0.00129
6,Intensity 6,11,0,0.861,0.4,0.000793
7,Intensity 7,11,0,1.009,0.4,0.000452
8,Intensity 8,11,0,1.156,0.4,0.00027

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
6,Acceleration,2,2,0.51,1.48,0.96,0.46,1.06,0.61,0.55,1.15,1.32,0.93,0.61
6,Acceleration,3,1,0.75,0.83,0.9,0.7,1.2,0.62,0.8,0.63,0.89,1.33,1.15
6,Acceleration,3,2,0.42,1.31,1.03,0.46,0.83,0.51,0.48,0.9,1.05,0.64,0.68
6,Acceleration,4,1,0.74,0.86,0.82,1.01,1.13,0.48,0.67,0.68,0.84,0.96,0.89
6,Acceleration,4,2,0.57,0.94,0.68,0.72,0.93,0.53,0.53,0.71,0.86,0.73,0.66
6,Residual Drift,,,0.0073043,0.0085797,0.0033478,0.0058406,0.0049638,0.0081594,0.0049275,0.0056159,0.0038261,0.0030435,0.002558
7,Story Drift Ratio,1,1,0.039286,0.062083,0.022262,0.039167,0.015,0.058393,0.026071,0.038333,0.014702,0.013512,0.01994
7,Story Drift Ratio,1,2,0.021786,0.02756,0.025119,0.046845,0.028869,0.026726,0.034107,0.098512,0.020298,0.021905,0.014583
7,Story Drift Ratio,2,1,0.063478,0.089275,0.032029,0.054275,0.040145,0.083623,0.048116,0.053841,0.030942,0.021304,0.023551
7,Story Drift Ratio,2,2,0.032899,0.036667,0.036522,0.077464,0.045,0.038333,0.05087,0.135507,0.026377,0.044058,0.028696
7,Story Drift Ratio,3,1,0.073043,0.085797,0.033478,0.058406,0.049638,0.081594,0.049275,0.056159,0.038261,0.030435,0.02558
7,Story Drift Ratio,3,2,0.034855,0.044565,0.043768,0.081377,0.052536,0.037826,0.05029,0.135217,0.033986,0.055145,0.035652
7,Acceleration,1,1,0.79,1.22,0.71,0.57,1.41,0.64,0.93,1.08,0.95,1.01,0.82
7,Acceleration,1,2,0.34,0.98,0.66,0.53,0.86,0.61,0.63,1.07,0.79,0.86,0.49
7,Acceleration,2,1,1.01,1.17,1.14,0.59,1.89,0.58,1.04,1.07,1.11,2.02,1.13
7,Acceleration,2,2,0.56,1.69,0.95,0.53,1.2,0.7,0.65,1.16,1.43,1.09,0.7
7,Acceleration,3,1,0.86,0.94,0.98,0.76,1.36,0.7,0.91,0.8,1.01,1.46,1.32
7,Acceleration,3,2,0.5,1.59,1.01,0.54,0.95,0.54,0.56,0.97,1.14,0.69,0.73
7,Acceleration,4,1,0.82,0.87,0.82,1.12,1.26,0.53,0.71,0.8,0.94,0.98,0.91
7,Acceleration,4,2,0.59,1.07,0.79,0.81,1.02,0.55,0.54,0.68,0.9,0.79,0.68
7,Residual Drift,,,0.0082174,0.0099928,0.0050797,0.0068261,0.0057464,0.0111449,0.0055942,0.0074565,0.0044928,0.0033841,0.0030652
8,Story Drift Ratio,1,1,0.043571,0.069762,0.034048,0.044226,0.017679,0.079167,0.03,0.047083,0.017679,0.01494,0.021726
8,Story Drift Ratio,1,2,0.025536,0.029821,0.02869,0.056726,0.035,0.038155,0.041845,0.133571,0.023095,0.024167,0.016726
8,Story Drift Ratio,2,1,0.069638,0.101232,0.048043,0.061449,0.046087,0.112826,0.052899,0.07029,0.036087,0.025145,0.027029
8,Story Drift Ratio,2,2,0.038768,0.043116,0.046739,0.093406,0.054348,0.053623,0.062609,0.187246,0.02971,0.049565,0.033333
8,Story Drift Ratio,3,1,0.082174,0.099928,0.050797,0.068261,0.057464,0.111449,0.055942,0.074565,0.044928,0.033841,0.030652
8,Story Drift Ratio,3,2,0.042681,0.053768,0.050652,0.098551,0.06442,0.053261,0.063478,0.192681,0.038478,0.063116,0.040725
8,Acceleration,1,1,0.91,1.39,0.81,0.65,1.62,0.73,1.06,1.24,1.09,1.16,0.94
8,Acceleration,1,2,0.39,1.12,0.75,0.61,0.99,0.7,0.72,1.22,0.91,0.98,0.56
8,Acceleration,2,1,1.15,1.45,1.28,0.75,2.11,0.69,1.21,1.26,1.11,2.12,1.25
8,Acceleration,2,2,0.64,1.84,1.02,0.61,1.26,0.79,0.74,1.25,1.48,1.24,0.83
8,Acceleration,3,1,1.02,1.04,1.03,0.83,1.56,0.79,1.11,0.94,1.07,1.58,1.46
8,Acceleration,3,2,0.53,1.87,1.05,0.62,1.07,0.6,0.63,1.02,1.19,0.79,0.76
8,Acceleration,4,1,0.87,0.98,0.84,1.24,1.36,0.57,0.76,0.91,1.03,0.99,0.91
8,Acceleration,4,2,0.63,1.18,0.87,0.9,1.11,0.57,0.56,0.79,0.92,0.85,0.75
8,Residual Drift,,,0.0091305,0.0114059,0.0068116,0.0078116,0.006529,0.0141304,0.0062609,0.0092971,0.0051595,0.0037247,0.0035724
